site_id,site_number,name,habitat_type,plant_id,cage,water,taxon_id,taxon_name,order,suborder,superfamily,family,subfamily,genus,species,guild,comment,dry_mass,indiv_count,sum_biomass
SG,1,Stan's Compound Garden,Urban,10,0,HIGH,12,Aphididae,Hemiptera,Homoptera,Aphidoidea,Aphididae,na,na,na,H,na,7.63888,2,15.27
SG,1,Stan's Compound Garden,Urban,50,1,HIGH,12,Aphididae,Hemiptera,Homoptera,Aphidoidea,Aphididae,na,na,na,H,na,7.63888,1,7.63
SG,1,Stan's Compound Garden,Urban,52,0,MEDIUM,12,Aphididae,Hemiptera,Homoptera,Aphidoidea,Aphididae,na,na,na,H,na,7.63888,1,7.63
SG,1,Stan's Compound Garden,Urban,15,0,MEDIUM,18,Braconidae,Hymenoptera,Apocrita,Ichneumonoidea,Braconidae,na,na,na,P,na,10.05884,1,10.05
SG,1,Stan's Compound Garden,Urban,56,0,LOW,18,Braconidae,Hymenoptera,Apocrita,Ichneumonoidea,Braconidae,na,na,na,P,na,10.05884,1,10.05
SG,1,Stan's Compound Garden,Urban,3,1,MEDIUM,32,Chironomidae,Diptera,Nematocera,Chironomoidea,Chironomidae,na,na,na,D,na,0.88965,1,0.88
SG,1,Stan's Compound Garden,Urban,52,0,MEDIUM,32,Chironomidae,Diptera,Nematocera,Chironomoidea,Chironomidae,na,na,na,D,na,0.88965,1,0.88
SG,1,Stan's Compound Garden,Urban,54,1,HIGH,32,Chironomidae,Diptera,Nematocera,Chironomoidea,Chironomidae,na,na,na,D,na,0.88965,1,0.88
SG,1,Stan's Compound Garden,Urban,43,0,MEDIUM,33,Chloropidae,Diptera,Brachycera,Carnoidea,Chloropidae,na,na,na,O,na,6.3351,1,6.33
SG,1,Stan's Compound Garden,Urban,33,1,MEDIUM,42,Chrysopidae I,Neuroptera,Hemerobiiformia,Osmyloidea,Chrysopidae,na,na,na,C,immature,34.15847,1,34.15
SG,1,Stan's Compound Garden,Urban,37,0,LOW,42,Chrysopidae I,Neuroptera,Hemerobiiformia,Osmyloidea,Chrysopidae,na,na,na,C,immature,34.15847,1,34.15
SG,1,Stan's Compound Garden,Urban,15,0,MEDIUM,45,Cicadellidae #1,Hemiptera,Auchenorrhyncha,Membracoidea,Cicadellidae,na,Empoasca,na,H,na,8.44514,1,8.44
SG,1,Stan's Compound Garden,Urban,31,0,LOW,45,Cicadellidae #1,Hemiptera,Auchenorrhyncha,Membracoidea,Cicadellidae,na,Empoasca,na,H,na,8.44514,1,8.44
SG,1,Stan's Compound Garden,Urban,32,1,MEDIUM,45,Cicadellidae #1,Hemiptera,Auchenorrhyncha,Membracoidea,Cicadellidae,na,Empoasca,na,H,na,8.44514,2,16.89
SG,1,Stan's Compound Garden,Urban,38,1,LOW,45,Cicadellidae #1,Hemiptera,Auchenorrhyncha,Membracoidea,Cicadellidae,na,Empoasca,na,H,na,8.44514,1,8.44
