site_id,site_number,name,habitat_type,plant_id,treatment_id,cage,water,month,month_number,taxon_id,taxon_name,order,suborder,super_family,family,subfamily,genus,guild,comment,dry_mass,indiv_count
CS,6,Community Services Building,Remnant,1,R,1,LOW,December,1,227,None,na,na,na,na,na,na,na,na,na,0
CS,6,Community Services Building,Remnant,2,G,0,MEDIUM,December,1,227,None,na,na,na,na,na,na,na,na,na,0
CS,6,Community Services Building,Remnant,3,O,0,LOW,December,1,227,None,na,na,na,na,na,na,na,na,na,0
CS,6,Community Services Building,Remnant,4,R,1,LOW,December,1,227,None,na,na,na,na,na,na,na,na,na,0
CS,6,Community Services Building,Remnant,5,P,0,HIGH,December,1,227,None,na,na,na,na,na,na,na,na,na,0
CS,6,Community Services Building,Remnant,6,O,0,LOW,December,1,227,None,na,na,na,na,na,na,na,na,na,0
CS,6,Community Services Building,Remnant,7,P,0,HIGH,December,1,227,None,na,na,na,na,na,na,na,na,na,0
CS,6,Community Services Building,Remnant,8,Y,1,HIGH,December,1,227,None,na,na,na,na,na,na,na,na,na,0
CS,6,Community Services Building,Remnant,9,P,0,HIGH,December,1,227,None,na,na,na,na,na,na,na,na,na,0
CS,6,Community Services Building,Remnant,10,R,1,LOW,December,1,227,None,na,na,na,na,na,na,na,na,na,0
CS,6,Community Services Building,Remnant,11,R,1,LOW,December,1,181,Rhopalidae #2,Hemiptera,Heteroptera,na,Rhopalidae,na,Liorhyssus,h,na,108.56303,1
CS,6,Community Services Building,Remnant,12,B,1,MEDIUM,December,1,227,None,na,na,na,na,na,na,na,na,na,0
CS,6,Community Services Building,Remnant,13,Y,1,HIGH,December,1,227,None,na,na,na,na,na,na,na,na,na,0
CS,6,Community Services Building,Remnant,14,G,0,MEDIUM,December,1,227,None,na,na,na,na,na,na,na,na,na,0
CS,6,Community Services Building,Remnant,15,P,0,HIGH,December,1,227,None,na,na,na,na,na,na,na,na,na,0
CS,6,Community Services Building,Remnant,16,G,0,MEDIUM,December,1,227,None,na,na,na,na,na,na,na,na,na,0
CS,6,Community Services Building,Remnant,17,Y,1,HIGH,December,1,227,None,na,na,na,na,na,na,na,na,na,0
CS,6,Community Services Building,Remnant,18,R,1,LOW,December,1,227,None,na,na,na,na,na,na,na,na,na,0
CS,6,Community Services Building,Remnant,19,P,0,HIGH,December,1,227,None,na,na,na,na,na,na,na,na,na,0
CS,6,Community Services Building,Remnant,20,P,0,HIGH,December,1,227,None,na,na,na,na,na,na,na,na,na,0
CS,6,Community Services Building,Remnant,21,B,1,MEDIUM,December,1,227,None,na,na,na,na,na,na,na,na,na,0
CS,6,Community Services Building,Remnant,22,G,0,MEDIUM,December,1,227,None,na,na,na,na,na,na,na,na,na,0
CS,6,Community Services Building,Remnant,23,Y,1,HIGH,December,1,222,Tingidae #1,Hemiptera,Heteroptera,na,Tingidae,na,Corythucha,h,na,5.55993,2
CS,6,Community Services Building,Remnant,24,O,0,LOW,December,1,227,None,na,na,na,na,na,na,na,na,na,0
CS,6,Community Services Building,Remnant,25,G,0,MEDIUM,December,1,214,Thomisidae #1,Araneae,na,Thomisoidea,Thomisidae,na,Misumenops,p,na,30.06868,1
CS,6,Community Services Building,Remnant,26,G,0,MEDIUM,December,1,227,None,na,na,na,na,na,na,na,na,na,0
CS,6,Community Services Building,Remnant,27,R,1,LOW,December,1,227,None,na,na,na,na,na,na,na,na,na,0
CS,6,Community Services Building,Remnant,28,B,1,MEDIUM,December,1,227,None,na,na,na,na,na,na,na,na,na,0
CS,6,Community Services Building,Remnant,29,B,1,MEDIUM,December,1,227,None,na,na,na,na,na,na,na,na,na,0
CS,6,Community Services Building,Remnant,30,Y,1,HIGH,December,1,227,None,na,na,na,na,na,na,na,na,na,0
CS,6,Community Services Building,Remnant,31,P,0,HIGH,December,1,13,Araneidae,Araneae,Araneomorphae,Araneoidea,Araneidae,na,na,p,na,3.80838,1
CS,6,Community Services Building,Remnant,31,P,0,HIGH,December,1,32,Chironomidae,Diptera,Nematocera,Chironomoidea,Chironomidae,na,na,omni,na,0.88965,2
CS,6,Community Services Building,Remnant,32,P,0,HIGH,December,1,227,None,na,na,na,na,na,na,na,na,na,0
CS,6,Community Services Building,Remnant,33,Y,1,HIGH,December,1,188,Salticidae #3,Araneae,na,Salticoidea,Salticidae,na,Metaphidippus,p,na,31.03702,1
CS,6,Community Services Building,Remnant,34,B,1,MEDIUM,December,1,222,Tingidae #1,Hemiptera,Heteroptera,na,Tingidae,na,Corythucha,h,na,5.55993,1
CS,6,Community Services Building,Remnant,35,G,0,MEDIUM,December,1,227,None,na,na,na,na,na,na,na,na,na,0
CS,6,Community Services Building,Remnant,36,R,1,LOW,December,1,13,Araneidae,Araneae,Araneomorphae,Araneoidea,Araneidae,na,na,p,na,3.80838,1
CS,6,Community Services Building,Remnant,36,R,1,LOW,December,1,88,Encyrtidae,Hymenoptera,Apocrita,Chalcidoidea,Encyrtidae,na,na,para,na,2.32481,1
CS,6,Community Services Building,Remnant,37,G,0,MEDIUM,December,1,42,Chrysopidae I,Neuroptera,Hemerobiiformia,Osmyloidea,Chrysopidae,na,na,p,immature,34.15847,1
CS,6,Community Services Building,Remnant,37,G,0,MEDIUM,December,1,266,Formicidae #12,Hymenoptera,Apocrita,Vespoidea,Formicidae,na,Prenolepis imparis,omni,na,12.883,1
CS,6,Community Services Building,Remnant,38,R,1,LOW,December,1,227,None,na,na,na,na,na,na,na,na,na,0
CS,6,Community Services Building,Remnant,39,O,0,LOW,December,1,227,None,na,na,na,na,na,na,na,na,na,0
CS,6,Community Services Building,Remnant,40,B,1,MEDIUM,December,1,13,Araneidae,Araneae,Araneomorphae,Araneoidea,Araneidae,na,na,p,na,3.80838,1
CS,6,Community Services Building,Remnant,41,Y,1,HIGH,December,1,227,None,na,na,na,na,na,na,na,na,na,0
CS,6,Community Services Building,Remnant,42,O,0,LOW,December,1,227,None,na,na,na,na,na,na,na,na,na,0
CS,6,Community Services Building,Remnant,43,O,0,LOW,December,1,227,None,na,na,na,na,na,na,na,na,na,0
CS,6,Community Services Building,Remnant,44,O,0,LOW,December,1,227,None,na,na,na,na,na,na,na,na,na,0
CS,6,Community Services Building,Remnant,45,Y,1,HIGH,December,1,227,None,na,na,na,na,na,na,na,na,na,0
