site_id,site_number,name,habitat_type,plant_id,treatment_id,plant_tag,height,D1,D2,D3,D4,plant_dry_mass,month,field_personnel
CS,6,Community Services Building,Remnant,1,R,CS01R,40,22,26,27,15,53.3,December,EM
CS,6,Community Services Building,Remnant,2,G,CS02G,32,19,13,28,10,32.9,December,EM
CS,6,Community Services Building,Remnant,3,O,CS03O,31,8,10,16,5,17.57,December,EM
CS,6,Community Services Building,Remnant,4,R,CS04R,32,16,15,24,29,39.6,December,EM
CS,6,Community Services Building,Remnant,5,P,CS05P,30,21,8,20,28,33.95,December,EM
CS,6,Community Services Building,Remnant,6,O,CS06O,50,23,25,28,29,78.23,December,EM
CS,6,Community Services Building,Remnant,7,P,CS07P,36,22,28,24,26,53.3,December,EM
CS,6,Community Services Building,Remnant,8,Y,CS08Y,37,16,37,25,24,55.92,December,EM
CS,6,Community Services Building,Remnant,9,P,CS09P,25,23,21,28,29,37.16,December,EM
CS,6,Community Services Building,Remnant,10,R,CS10R,34,25,16,29,19,44.67,December,EM
CS,6,Community Services Building,Remnant,11,R,CS11R,32,24,32,25,23,49.21,December,EM
CS,6,Community Services Building,Remnant,12,B,CS12B,31,35,23,25,23,48.58,December,EM
CS,6,Community Services Building,Remnant,13,Y,CS13Y,34,33,40,35,25,67.21,December,EM
CS,6,Community Services Building,Remnant,14,G,CS14G,35,23,29,20,24,49.69,December,EM
CS,6,Community Services Building,Remnant,15,P,CS15P,59,16,13,20,11,52.4,December,EM
CS,6,Community Services Building,Remnant,16,G,CS16G,48,20,23,18,20,57.64,December,EM
CS,6,Community Services Building,Remnant,17,Y,CS17Y,42,26,25,35,20,66.16,December,EM
CS,6,Community Services Building,Remnant,18,R,CS18R,33,19,33,30,21,50.28,December,EM
CS,6,Community Services Building,Remnant,19,P,CS19P,33,35,23,33,24,56.24,December,EM
CS,6,Community Services Building,Remnant,20,P,CS20P,40,25,24,27,23,58.73,December,EM
CS,6,Community Services Building,Remnant,21,B,CS21B,46,25,24,20,26,64.92,December,EM
CS,6,Community Services Building,Remnant,22,G,CS22G,43,27,19,29,24,63.21,December,EM
CS,6,Community Services Building,Remnant,23,Y,CS23Y,49,20,16,18,24,56.65,December,EM
CS,6,Community Services Building,Remnant,24,O,CS24O,37,12,20,17,24,39.8,December,EM
CS,6,Community Services Building,Remnant,25,G,CS25G,40,34,21,30,25,65.37,December,EM
CS,6,Community Services Building,Remnant,26,G,CS26G,30,13,15,23,21,31.7,December,EM
CS,6,Community Services Building,Remnant,27,R,CS27R,32,21,20,28,22,42.96,December,EM
CS,6,Community Services Building,Remnant,28,B,CS28B,37,23,17,25,27,50.35,December,EM
CS,6,Community Services Building,Remnant,29,B,CS29B,31,27,19,28,16,41.13,December,EM
CS,6,Community Services Building,Remnant,30,Y,CS30Y,34,18,22,19,23,41.1,December,EM
CS,6,Community Services Building,Remnant,31,P,CS31P,49,23,23,22,20,64.04,December,EM
CS,6,Community Services Building,Remnant,32,P,CS32P,48,32,23,19,14,62.71,December,EM
CS,6,Community Services Building,Remnant,33,Y,CS33Y,46,12,10,8,10,26.93,December,EM
CS,6,Community Services Building,Remnant,34,B,CS34B,35,34,25,26,28,58.65,December,EM
CS,6,Community Services Building,Remnant,35,G,CS35G,50,40,19,18,14,67.64,December,EM
CS,6,Community Services Building,Remnant,36,R,CS36R,46,20,20,14,16,47.59,December,EM
CS,6,Community Services Building,Remnant,37,G,CS37G,39,26,23,29,24,59,December,EM
CS,6,Community Services Building,Remnant,38,R,CS38R,52,23,18,22,16,60.96,December,EM
CS,6,Community Services Building,Remnant,39,O,CS39O,18,5,8,7,8,7.21,December,EM
CS,6,Community Services Building,Remnant,40,B,CS40B,37,28,20,22,20,49.24,December,EM
CS,6,Community Services Building,Remnant,41,Y,CS41Y,31,22,28,22,28,45.78,December,EM
CS,6,Community Services Building,Remnant,42,O,CS42O,42,26,19,22,27,58.55,December,EM
CS,6,Community Services Building,Remnant,43,O,CS43O,46,24,18,14,16,48.97,December,EM
CS,6,Community Services Building,Remnant,44,O,CS44O,54,21,26,23,22,73.96,December,EM
CS,6,Community Services Building,Remnant,45,Y,CS45Y,40,24,25,28,30,63.56,December,EM
CS,6,Community Services Building,Remnant,46,R,CS46R,41,26,18,23,25,55.89,December,EM
CS,6,Community Services Building,Remnant,47,Y,CS47Y,40,21,24,26,29,59.33,December,EM
CS,6,Community Services Building,Remnant,48,B,CS48B,39,28,26,25,30,63.12,December,EM
CS,6,Community Services Building,Remnant,49,B,CS49B,30,8,10,5,5,12.13,December,EM
CS,6,Community Services Building,Remnant,50,R,CS50R,46,21,22,29,29,69.09,December,EM
CS,6,Community Services Building,Remnant,51,B,CS51B,40,26,29,28,30,67.18,December,EM
CS,6,Community Services Building,Remnant,52,P,CS52P,43,24,22,24,20,57.37,December,EM
CS,6,Community Services Building,Remnant,53,O,CS53O,56,24,19,25,15,69.12,December,EM
CS,6,Community Services Building,Remnant,54,P,CS54P,44,27,21,33,26,70.03,December,EM
CS,6,Community Services Building,Remnant,55,B,CS55B,32,25,35,26,30,54.99,December,EM
